,Marks,WinRate,MVP,Played,URL
165,105,53.03%,155,909,https://sea.wildstats.gg/en/profile/iVp7redKcIvbSQ7tF6fL
166,106,54.83%,96,693,https://sea.wildstats.gg/en/profile/49NNW7luwIeLXRT4J7og
167,106,55.26%,99,666,https://sea.wildstats.gg/en/profile/eqn8TwCNVrEaLdfxYb1X
168,106,59.82%,79,438,https://sea.wildstats.gg/en/profile/ea2sw7JI8EfJanYF4od3
169,106,54.37%,175,743,https://sea.wildstats.gg/en/profile/Szj19sh0Jt1DIa2M89E1
170,106,52.46%,99,"1,119",https://sea.wildstats.gg/en/profile/2uggfHVlVoO4nYc21LTw
171,106,55.21%,148,701,https://sea.wildstats.gg/en/profile/x5WH0uAYGaKMN2XPiZMg
172,106,51.3%,211,"1,269",https://sea.wildstats.gg/en/profile/quMTeQWNiw2Wki37JtlG
173,106,55.93%,226,624,https://sea.wildstats.gg/en/profile/HptG7lZa0mrpO7fS63AU
174,106,52.98%,109,957,https://sea.wildstats.gg/en/profile/rvdeSHjfS6VFzhuHPBRD
175,106,52.02%,237,992,https://sea.wildstats.gg/en/profile/EiippLP83HrfuldoEemH
176,106,52.84%,113,967,https://sea.wildstats.gg/en/profile/dm3572zA0e7EzIGcdHMK
177,106,52.85%,167,982,https://sea.wildstats.gg/en/profile/nRF7xp04qNUloTAXzwmM
178,106,51.85%,228,"1,431",https://sea.wildstats.gg/en/profile/Wov0J1SfplvT1IDWvZh9
179,105,51.4%,44,"2,078",https://sea.wildstats.gg/en/profile/hgFa0zEXxNY36usmMwEu
180,106,52.14%,120,"1,122",https://sea.wildstats.gg/en/profile/5fXESlxsPEp8QQT1WoHW
181,105,59.17%,128,480,https://sea.wildstats.gg/en/profile/O5F2sGnTc8JGM1XhK4uX
182,106,56.39%,127,626,https://sea.wildstats.gg/en/profile/vetEeniRKnuRdhCEaOxM
183,105,56.79%,132,574,https://sea.wildstats.gg/en/profile/Y5JddedlzM3udWtAi5Ng
184,105,54.71%,227,616,https://sea.wildstats.gg/en/profile/gobjO7feXBqNZkAoteKU
185,105,59.08%,3,435,https://sea.wildstats.gg/en/profile/yR6QNxX5y3D9wIiXLrWZ
186,105,60.31%,166,519,https://sea.wildstats.gg/en/profile/hyjRLAVYQGaFrZ9bz1pm
187,105,59.01%,61,444,https://sea.wildstats.gg/en/profile/fXouqNinxsomR2JrkOcF
188,105,52.89%,165,866,https://sea.wildstats.gg/en/profile/H02n4tqOrS5ZnZTy3v3H
189,105,53.68%,178,829,https://sea.wildstats.gg/en/profile/CHPoMgnMc4Us64A3AJ1b
190,105,55.67%,179,600,https://sea.wildstats.gg/en/profile/7CEeILxP8SXLGaXwa1aX
191,105,57.37%,102,509,https://sea.wildstats.gg/en/profile/9eKz76Z8PkD6JZ4ufLP6
192,105,56.64%,135,602,https://sea.wildstats.gg/en/profile/fcNMdU7arNI820ufJ4yL
193,105,54.71%,129,733,https://sea.wildstats.gg/en/profile/x2CkGnTXrUYWSxkJkob3
194,105,54.97%,244,744,https://sea.wildstats.gg/en/profile/Kn7wK4zHFX92Wt4KugrG
195,105,54.47%,84,771,https://sea.wildstats.gg/en/profile/Hz5LSDspCSq230aHtUlW
196,105,51.7%,348,"1,027",https://sea.wildstats.gg/en/profile/PwyjbsNX8BZm6NP52Aa4
197,105,55.76%,152,590,https://sea.wildstats.gg/en/profile/oNNz86bupxjmM4IcV9l3
198,105,53.19%,250,863,https://sea.wildstats.gg/en/profile/nmEbQwjpZAQOQlR0GvbG
199,105,52.42%,243,826,https://sea.wildstats.gg/en/profile/nHpmtFKH9ec4NZxjGU1s
