Marks,WinRate,MVP,Played,URL
2,87.5%,0,8,https://sea.wildstats.gg/en/profile/TS4aVzbu9dBvZVGRHagY
2,65.22%,1,23,https://sea.wildstats.gg/en/profile/DNiUuczv4vvjzcCohDQ6
2,75%,4,16,https://sea.wildstats.gg/en/profile/nxfCdOgLlK3HkLxffHGo
2,85.71%,1,14,https://sea.wildstats.gg/en/profile/b9gdmj5UOXtUW1ERb8w0
2,75%,3,16,https://sea.wildstats.gg/en/profile/OL7lU8M9pSiNn9lNkqwx
2,80%,7,15,https://sea.wildstats.gg/en/profile/Vf1KVa3ehhFbrcfNeTjU
1,61.54%,3,26,https://sea.wildstats.gg/en/profile/f5HZGROFOpnOHtsHiYkS
2,82.35%,8,17,https://sea.wildstats.gg/en/profile/HR2YaYN1vfAG44h3pFzm
3,75%,5,20,https://sea.wildstats.gg/en/profile/2Ig9ltwIPTrSd62rDaHW
3,73.68%,2,19,https://sea.wildstats.gg/en/profile/9VWOQtMKjBZsDiTctAMw
2,70.59%,4,17,https://sea.wildstats.gg/en/profile/OKeLU6jYJkFkTHeUUgBv
3,74.07%,7,27,https://sea.wildstats.gg/en/profile/hmPudqMAboqBGhlthzGu
4,80%,0,20,https://sea.wildstats.gg/en/profile/RJVv2duNCPaADMxIJbT0
2,68.18%,5,22,https://sea.wildstats.gg/en/profile/mq2vZPOEd8fLXH4MCZ6N
2,70%,4,20,https://sea.wildstats.gg/en/profile/v2MH8M68hachM05zCuj2
2,66.67%,5,21,https://sea.wildstats.gg/en/profile/whwG9tgT6sHwfblnrGtP
3,61.54%,2,26,https://sea.wildstats.gg/en/profile/Aefg4Gc1sf9VFbbvojNV
1,75%,0,16,https://sea.wildstats.gg/en/profile/Kn7S3CYvkzADemYOGfEP
3,77.78%,2,18,https://sea.wildstats.gg/en/profile/sR3NCroXF8RkmmFqlGJG
2,85.71%,0,14,https://sea.wildstats.gg/en/profile/8fMN33iFXYdXFp5YyFvW
2,70%,4,20,https://sea.wildstats.gg/en/profile/Mm1NioMaInMhZgbEU8a9
2,75%,6,16,https://sea.wildstats.gg/en/profile/AZI0WOCx7IvERVz5cCJd
3,69.57%,4,23,https://sea.wildstats.gg/en/profile/KmxcvlyT0suMBYl3MtTz
1,61.9%,7,21,https://sea.wildstats.gg/en/profile/urSgYWhLNb2qTkdRIst0
1,60.87%,7,23,https://sea.wildstats.gg/en/profile/I9qK3RMY6OfgJdYbedhq
1,75%,1,16,https://sea.wildstats.gg/en/profile/8b9ibS04F3f01LLLeqv0
1,75%,3,8,https://sea.wildstats.gg/en/profile/XRZhyWCKPq2hrJWAL2b1
1,60%,0,15,https://sea.wildstats.gg/en/profile/hbbVKX6zb18925SWAqUa
1,78.57%,9,14,https://sea.wildstats.gg/en/profile/dctnj0KKnUNqqpZBeIwv
1,78.57%,4,14,https://sea.wildstats.gg/en/profile/E35bMcsCUYy1QNm87eAd
1,77.78%,3,9,https://sea.wildstats.gg/en/profile/D1pWIYi6Y5O5wfvRYG7T
1,72.22%,2,18,https://sea.wildstats.gg/en/profile/oFanHjBzCUr4tYx6xITe
